id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
165,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.864509,74.8403843""","{""full"":""UGF, A gnel Ville,  Kadri B Village of Mangalore Taluk, Mangalore, D.K. District, Mangalore-575006""}",Kadri B Village,Mangalore,"12.864509,74.8403843"
166,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""15.5321988,73.81949999999999""","{""full"":""Ground Floor, H.No. 401/3 comprised in Survey No. 75, Sub-division No. 3, situated at Village Pilerne, Taluka Bardez,North Goa- 403521""}",Pilerne,Mapusa,"15.5321988,73.81949999999999"
167,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""8.5241391,76.9366376""","{""full"":""Ground Floor,27/2940-11,SreeDhanya vantage, Opp to RBI, Bakkery Junc,Trivandrum, Pincode-695033""}",Bakkery Junc,Thiruvananthapuram,"8.5241391,76.9366376"
168,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""8.5435473,76.8916251""","{""full"":""Ground Floor,500/2/1, attipra village, Kaxhakootam,Trivandrum,Pincode-695022""}",attipra village,Trivandrum,"8.5435473,76.8916251"
169,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""21.1440761,72.7627163""","{""full"":""Lower Ground Floor, Shop no. S12,13,14, Goldmine Shoppers, Near Beladamora, Vesu Surat - 395001""}",Vesu,Surat,"21.1440761,72.7627163"
17,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""21.1189828,79.0705072""","{""full"":""Gf, House No. 781/B, situated at Village Ajni, RPTS Road, Opposite to Saraf Ajinkya Tutorials, Near Ajni Square, District Nagpur- 440015""}",Ajni,Nagpur,"21.1189828,79.0705072"
170,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""18.4726725,73.9784573""","{""full"":""Ground Floor, Survey No. 211/3, situated at Village Fursungi, Taluka Haveli, District Pune- 412308""}",Fursungi,Pune,"18.4726725,73.9784573"
171,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""28.5561075,77.55355759999999""","{""full"":""Khasra No. 344, situated in Village Gijhore, Pargana and Tehsil Dadri, District Gautam Buddh Nagar, U.P-201301""}",Gijhore,Noida,"28.5561075,77.55355759999999"
172,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0560201,77.5008689""","{""full"":""Ground Floor , Survey No. 27, Nagasandra Village, Yeshwanthpur Hobli, Bengaluru South Taluk, Bengaluru -560073""}",Yeshwanthpur Hobli,Bangalore,"13.0560201,77.5008689"
173,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0559193,77.6324513""","{""full"":""Ground Floor, Survey No. 101/2, Thanisandra Village, K R Puram Hobli, Bengaluru East Taluk, Bengaluru -560077""}",K R Puram Hobli,Bangalore,"13.0559193,77.6324513"
174,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""28.678276,77.4441779""","{""full"":""LGF, \""Mahalaxmi Mall\"" , Plot No. C-2  situated in RDC Raj Nagar, Ghaziabad, Uttar pradesh- 201002""}",RDC Raj Nagar,Ghaziabad,"28.678276,77.4441779"
